TOPc8e46a00	START
TOPc8e46a00	attack_mode	0
TOPc8e46a00	attack_kern	0
TOPc8e46a00	benchmark	1
TOPc8e46a00	stdout_flag	0
TOPc8e46a00	bitmap_min	16
TOPc8e46a00	bitmap_max	24
TOPc8e46a00	debug_mode	0
TOPc8e46a00	force	0
TOPc8e46a00	kernel_accel	0
TOPc8e46a00	kernel_loops	0
TOPc8e46a00	nvidia_spin_damp	100
TOPc8e46a00	gpu_temp_disable	0
TOPc8e46a00	gpu_temp_abort	90
TOPc8e46a00	gpu_temp_retain	75
TOPc8e46a00	hash_mode	0
TOPc8e46a00	hex_charset	0
TOPc8e46a00	hex_salt	0
TOPc8e46a00	hex_wordlist	0
TOPc8e46a00	increment	0
TOPc8e46a00	increment_max	54
TOPc8e46a00	increment_min	1
TOPc8e46a00	keyspace	0
TOPc8e46a00	left	0
TOPc8e46a00	logfile_disable	0
TOPc8e46a00	loopback	0
TOPc8e46a00	markov_classic	0
TOPc8e46a00	markov_disable	0
TOPc8e46a00	markov_threshold	0
TOPc8e46a00	outfile_autohex	1
TOPc8e46a00	outfile_check_timer	5
TOPc8e46a00	outfile_format	3
TOPc8e46a00	potfile_disable	0
TOPc8e46a00	powertune_enable	0
TOPc8e46a00	scrypt_tmto	0
TOPc8e46a00	quiet	0
TOPc8e46a00	remove	0
TOPc8e46a00	remove_timer	60
TOPc8e46a00	restore	0
TOPc8e46a00	restore_disable	0
TOPc8e46a00	restore_timer	60
TOPc8e46a00	rp_gen	0
TOPc8e46a00	rp_gen_func_max	4
TOPc8e46a00	rp_gen_func_min	1
TOPc8e46a00	rp_gen_seed	0
TOPc8e46a00	runtime	0
TOPc8e46a00	segment_size	32
TOPc8e46a00	show	0
TOPc8e46a00	status	0
TOPc8e46a00	machine_readable	0
TOPc8e46a00	status_timer	10
TOPc8e46a00	usage	0
TOPc8e46a00	username	0
TOPc8e46a00	version	0
TOPc8e46a00	weak_hash_threshold	100
TOPc8e46a00	workload_profile	2
TOPc8e46a00	limit	0
TOPc8e46a00	skip	0
TOPc8e46a00	separator	:
TOPc8e46a00	opencl_vector_width	0
TOPc8e46a00	rule_buf_l	:
TOPc8e46a00	rule_buf_r	:
TOPc8e46a00	session	hashcat
TOPc8e46a00	veracrypt_pim	0
TOPc8e46a00	hashlist_mode	5
TOPc8e46a00	hashlist_format	0
TOPb16b7c49	START
TOPb16b7c49	attack_mode	0
TOPb16b7c49	attack_kern	0
TOPb16b7c49	benchmark	1
TOPb16b7c49	stdout_flag	0
TOPb16b7c49	bitmap_min	16
TOPb16b7c49	bitmap_max	24
TOPb16b7c49	debug_mode	0
TOPb16b7c49	force	0
TOPb16b7c49	kernel_accel	0
TOPb16b7c49	kernel_loops	0
TOPb16b7c49	nvidia_spin_damp	100
TOPb16b7c49	gpu_temp_disable	0
TOPb16b7c49	gpu_temp_abort	90
TOPb16b7c49	gpu_temp_retain	75
TOPb16b7c49	hash_mode	0
TOPb16b7c49	hex_charset	0
TOPb16b7c49	hex_salt	0
TOPb16b7c49	hex_wordlist	0
TOPb16b7c49	increment	0
TOPb16b7c49	increment_max	54
TOPb16b7c49	increment_min	1
TOPb16b7c49	keyspace	0
TOPb16b7c49	left	0
TOPb16b7c49	logfile_disable	0
TOPb16b7c49	loopback	0
TOPb16b7c49	markov_classic	0
TOPb16b7c49	markov_disable	0
TOPb16b7c49	markov_threshold	0
TOPb16b7c49	outfile_autohex	1
TOPb16b7c49	outfile_check_timer	5
TOPb16b7c49	outfile_format	3
TOPb16b7c49	potfile_disable	0
TOPb16b7c49	powertune_enable	0
TOPb16b7c49	scrypt_tmto	0
TOPb16b7c49	quiet	0
TOPb16b7c49	remove	0
TOPb16b7c49	remove_timer	60
TOPb16b7c49	restore	0
TOPb16b7c49	restore_disable	0
TOPb16b7c49	restore_timer	60
TOPb16b7c49	rp_gen	0
TOPb16b7c49	rp_gen_func_max	4
TOPb16b7c49	rp_gen_func_min	1
TOPb16b7c49	rp_gen_seed	0
TOPb16b7c49	runtime	0
TOPb16b7c49	segment_size	32
TOPb16b7c49	show	0
TOPb16b7c49	status	0
TOPb16b7c49	machine_readable	0
TOPb16b7c49	status_timer	10
TOPb16b7c49	usage	0
TOPb16b7c49	username	0
TOPb16b7c49	version	0
TOPb16b7c49	weak_hash_threshold	100
TOPb16b7c49	workload_profile	2
TOPb16b7c49	limit	0
TOPb16b7c49	skip	0
TOPb16b7c49	separator	:
TOPb16b7c49	opencl_vector_width	0
TOPb16b7c49	rule_buf_l	:
TOPb16b7c49	rule_buf_r	:
TOPb16b7c49	session	hashcat
TOPb16b7c49	veracrypt_pim	0
TOPb16b7c49	hashlist_mode	5
TOPb16b7c49	hashlist_format	0
TOP8b8416f4	START
TOP8b8416f4	attack_mode	0
TOP8b8416f4	attack_kern	0
TOP8b8416f4	benchmark	1
TOP8b8416f4	stdout_flag	0
TOP8b8416f4	bitmap_min	16
TOP8b8416f4	bitmap_max	24
TOP8b8416f4	debug_mode	0
TOP8b8416f4	force	0
TOP8b8416f4	kernel_accel	0
TOP8b8416f4	kernel_loops	0
TOP8b8416f4	nvidia_spin_damp	100
TOP8b8416f4	gpu_temp_disable	0
TOP8b8416f4	gpu_temp_abort	90
TOP8b8416f4	gpu_temp_retain	75
TOP8b8416f4	hash_mode	0
TOP8b8416f4	hex_charset	0
TOP8b8416f4	hex_salt	0
TOP8b8416f4	hex_wordlist	0
TOP8b8416f4	increment	0
TOP8b8416f4	increment_max	54
TOP8b8416f4	increment_min	1
TOP8b8416f4	keyspace	0
TOP8b8416f4	left	0
TOP8b8416f4	logfile_disable	0
TOP8b8416f4	loopback	0
TOP8b8416f4	markov_classic	0
TOP8b8416f4	markov_disable	0
TOP8b8416f4	markov_threshold	0
TOP8b8416f4	outfile_autohex	1
TOP8b8416f4	outfile_check_timer	5
TOP8b8416f4	outfile_format	3
TOP8b8416f4	potfile_disable	0
TOP8b8416f4	powertune_enable	0
TOP8b8416f4	scrypt_tmto	0
TOP8b8416f4	quiet	0
TOP8b8416f4	remove	0
TOP8b8416f4	remove_timer	60
TOP8b8416f4	restore	0
TOP8b8416f4	restore_disable	0
TOP8b8416f4	restore_timer	60
TOP8b8416f4	rp_gen	0
TOP8b8416f4	rp_gen_func_max	4
TOP8b8416f4	rp_gen_func_min	1
TOP8b8416f4	rp_gen_seed	0
TOP8b8416f4	runtime	0
TOP8b8416f4	segment_size	32
TOP8b8416f4	show	0
TOP8b8416f4	status	0
TOP8b8416f4	machine_readable	0
TOP8b8416f4	status_timer	10
TOP8b8416f4	usage	0
TOP8b8416f4	username	0
TOP8b8416f4	version	0
TOP8b8416f4	weak_hash_threshold	100
TOP8b8416f4	workload_profile	2
TOP8b8416f4	limit	0
TOP8b8416f4	skip	0
TOP8b8416f4	separator	:
TOP8b8416f4	opencl_vector_width	0
TOP8b8416f4	rule_buf_l	:
TOP8b8416f4	rule_buf_r	:
TOP8b8416f4	session	hashcat
TOP8b8416f4	veracrypt_pim	0
TOP8b8416f4	hashlist_mode	5
TOP8b8416f4	hashlist_format	0
TOP82afdc6d	START
TOP82afdc6d	attack_mode	7
TOP82afdc6d	attack_kern	1
TOP82afdc6d	benchmark	0
TOP82afdc6d	stdout_flag	0
TOP82afdc6d	bitmap_min	16
TOP82afdc6d	bitmap_max	24
TOP82afdc6d	debug_mode	0
TOP82afdc6d	force	0
TOP82afdc6d	kernel_accel	0
TOP82afdc6d	kernel_loops	0
TOP82afdc6d	nvidia_spin_damp	100
TOP82afdc6d	gpu_temp_disable	0
TOP82afdc6d	gpu_temp_abort	90
TOP82afdc6d	gpu_temp_retain	75
TOP82afdc6d	hash_mode	0
TOP82afdc6d	hex_charset	0
TOP82afdc6d	hex_salt	0
TOP82afdc6d	hex_wordlist	0
TOP82afdc6d	increment	0
TOP82afdc6d	increment_max	54
TOP82afdc6d	increment_min	1
TOP82afdc6d	keyspace	0
TOP82afdc6d	left	0
TOP82afdc6d	logfile_disable	0
TOP82afdc6d	loopback	0
TOP82afdc6d	markov_classic	0
TOP82afdc6d	markov_disable	0
TOP82afdc6d	markov_threshold	32
TOP82afdc6d	outfile_autohex	1
TOP82afdc6d	outfile_check_timer	5
TOP82afdc6d	outfile_format	3
TOP82afdc6d	potfile_disable	0
TOP82afdc6d	powertune_enable	0
TOP82afdc6d	scrypt_tmto	0
TOP82afdc6d	quiet	0
TOP82afdc6d	remove	0
TOP82afdc6d	remove_timer	60
TOP82afdc6d	restore	0
TOP82afdc6d	restore_disable	0
TOP82afdc6d	restore_timer	60
TOP82afdc6d	rp_gen	0
TOP82afdc6d	rp_gen_func_max	4
TOP82afdc6d	rp_gen_func_min	1
TOP82afdc6d	rp_gen_seed	0
TOP82afdc6d	runtime	0
